user_id,group,vm_id,vpn_location,vpn_server,proportion
655,race - black,1,Las Vegas,19,21
656,race - black,1,Los Angeles,65,40
657,race - black,1,Miami,36,4
658,race - black,1,New Orleans,36,50
659,race - black,1,New York,58,44
660,race - black,1,Phoenix,14,28
661,race - black,1,San Jose,16,15
662,race - black,1,Seattle,19,6
663,race - black,1,Ashburn,22,42
664,race - black,1,Atlanta,38,62
665,race - black,1,Boston,79,93
666,race - black,1,Charlotte,16,71
667,race - black,1,Chicago,45,41
668,race - black,1,Cincinnati,0,26
669,race - black,1,Dallas,73,70
670,race - black,1,Denver,7,28
671,race - black,1,Houston,22,10
672,race - black,1,Las Vegas,35,41
673,race - black,1,Los Angeles,51,96
674,race - black,1,Miami,52,55
675,race - black,1,New Orleans,19,56
676,race - black,1,New York,133,46
677,race - black,1,Phoenix,30,19
678,race - black,1,San Jose,28,36
679,race - black,1,Seattle,19,76
680,race - black,1,Ashburn,79,50
681,race - black,1,Atlanta,142,47
682,race - black,1,Boston,7,0
683,race - black,1,Charlotte,16,23
684,race - black,1,Chicago,97,64
685,race - black,1,Cincinnati,20,56
686,race - black,1,Dallas,73,96
687,race - black,1,Denver,26,13
688,race - black,1,Houston,48,25
689,race - black,1,Las Vegas,33,87
690,race - black,1,Los Angeles,12,68
691,race - black,1,Miami,4,73
692,race - black,1,New Orleans,34,53
693,race - black,1,New York,139,1
694,race - black,1,Phoenix,1,28
695,race - black,1,San Jose,41,12
696,race - black,1,Seattle,9,59
697,race - black,1,Ashburn,99,81
698,race - black,1,Atlanta,51,31
699,race - black,1,Boston,26,1
700,race - black,1,Charlotte,15,19
701,race - black,1,Chicago,17,30
702,race - black,1,Cincinnati,3,39
703,race - black,1,Dallas,61,27
704,race - black,1,Denver,1,56
705,race - black,1,Houston,48,94
706,race - black,1,Las Vegas,4,31
707,race - black,1,Los Angeles,74,98
708,race - black,1,Miami,22,93
709,race - black,1,New Orleans,16,95
710,race - black,1,New York,61,3
711,race - black,1,Phoenix,11,12
712,race - black,1,San Jose,51,94
713,race - black,1,Seattle,14,82
714,race - black,1,Ashburn,48,93
715,race - black,1,Atlanta,10,81
716,race - black,1,Boston,48,1
717,race - black,1,Charlotte,23,2
718,race - black,1,Chicago,84,90
719,race - black,1,Cincinnati,7,83
720,race - black,1,Dallas,13,9
721,race - black,1,Denver,32,47
722,race - black,1,Houston,41,34
723,race - black,1,Las Vegas,43,68
724,race - black,1,Los Angeles,0,79
725,race - black,1,Miami,51,26
726,race - black,1,New Orleans,30,28
727,race - black,1,New York,60,19
728,race - black,1,Phoenix,1,3
729,race - black,1,San Jose,49,13
730,race - black,1,Seattle,29,59
731,race - black,1,Ashburn,85,84
732,race - black,1,Atlanta,47,84
733,race - black,1,Boston,75,97
734,race - black,1,Charlotte,1,71
735,race - black,1,Chicago,35,19
736,race - black,1,Cincinnati,14,53
737,race - black,1,Dallas,86,56
738,race - black,1,Denver,5,78
739,race - black,1,Houston,52,85
740,race - black,1,Las Vegas,11,26
741,race - black,1,Los Angeles,12,33
742,race - black,1,Miami,16,96
743,race - black,1,New Orleans,8,71
744,race - black,1,New York,75,34
745,race - black,1,Phoenix,7,56
746,race - black,1,San Jose,24,54
747,race - black,1,Seattle,11,24
748,race - black,1,Ashburn,112,12
749,race - black,1,Atlanta,43,35
750,race - black,1,Boston,21,88
751,race - black,1,Charlotte,31,87
752,race - black,1,Chicago,87,69
753,race - black,1,Cincinnati,8,79
754,race - black,1,Dallas,91,84
755,race - black,1,Denver,14,79
756,race - black,1,Houston,45,41
757,race - black,1,Las Vegas,4,61
758,race - black,1,Los Angeles,17,97
759,race - black,1,Miami,23,56
760,race - black,1,New Orleans,37,34
761,race - black,1,New York,81,4
762,race - black,1,Phoenix,11,13
763,race - black,1,San Jose,18,19
764,race - black,1,Seattle,15,42
765,race - black,1,Ashburn,108,61
766,race - black,1,Atlanta,26,85
767,race - black,1,Boston,47,33
768,race - black,1,Charlotte,9,57
769,race - black,1,Chicago,123,52
770,race - black,1,Cincinnati,13,56
771,race - black,1,Dallas,9,62
772,race - black,1,Denver,18,88
773,race - black,1,Houston,36,27
774,race - black,1,Las Vegas,10,6
775,race - black,1,Los Angeles,8,38
776,race - black,1,Miami,6,62
777,race - black,1,New Orleans,21,95
778,race - black,1,New York,147,99
779,race - black,1,Phoenix,7,3
780,race - black,1,San Jose,28,14
781,race - black,1,Seattle,21,57
782,race - black,1,Ashburn,31,95
783,race - black,1,Atlanta,46,8
784,race - black,1,Boston,50,32
785,race - black,1,Charlotte,19,27
786,race - black,1,Chicago,2,23
787,race - black,1,Cincinnati,0,81
788,race - black,1,Dallas,17,74
789,race - black,1,Denver,1,31
790,race - black,1,Houston,37,84
791,race - black,1,Las Vegas,27,34
792,race - black,1,Los Angeles,34,39
793,race - black,1,Miami,46,67
794,race - black,1,New Orleans,28,62
795,race - black,1,New York,65,89
796,race - black,1,Phoenix,1,48
797,race - black,1,San Jose,2,0
798,race - black,1,Seattle,13,8
799,race - black,1,Ashburn,114,13
800,race - black,1,Atlanta,98,28
801,race - black,1,Boston,80,51
802,race - black,1,Charlotte,35,28
803,race - black,1,Chicago,69,9
804,race - black,1,Cincinnati,20,76
805,race - black,1,Dallas,54,21
806,race - black,1,Denver,15,9
807,race - black,1,Houston,27,26
808,race - black,1,Las Vegas,7,41
809,race - black,1,Los Angeles,51,52
810,race - black,1,Miami,53,91
811,race - black,1,New Orleans,24,18
812,race - black,1,New York,4,44
813,race - black,1,Phoenix,26,90
814,race - black,1,San Jose,51,79
815,race - black,1,Seattle,23,83
816,race - black,1,Ashburn,9,23
817,race - black,1,Atlanta,24,94
818,race - black,1,Boston,13,64
819,race - black,1,Charlotte,8,57
820,race - black,1,Chicago,65,87
821,race - black,1,Cincinnati,1,42
822,race - black,1,Dallas,48,76
823,race - black,1,Denver,6,46
824,race - black,1,Houston,28,32
825,race - black,1,Las Vegas,17,3
826,race - black,1,Los Angeles,81,91
827,race - black,1,Miami,11,47
828,race - black,1,New Orleans,12,95
829,race - black,1,New York,66,53
830,race - black,1,Phoenix,30,37
831,race - black,1,San Jose,33,91
832,race - black,1,Seattle,13,66
833,race - black,1,Ashburn,108,22
834,race - black,1,Atlanta,145,15
835,race - black,1,Boston,47,39
836,race - black,1,Charlotte,7,34
837,race - black,1,Chicago,32,79
838,race - black,1,Cincinnati,11,72
839,race - black,1,Dallas,83,91
840,race - black,1,Denver,3,21
841,race - black,1,Houston,3,17
842,race - black,1,Las Vegas,37,6
843,race - black,1,Los Angeles,53,22
844,race - black,1,Miami,43,36
845,race - black,1,New Orleans,42,92
846,race - black,1,New York,133,77
847,race - black,1,Phoenix,19,68
848,race - black,1,San Jose,12,78
849,race - black,1,Seattle,29,1
850,race - black,1,Ashburn,76,56
851,race - black,1,Atlanta,30,76
852,race - black,1,Boston,60,82
853,race - black,1,Charlotte,29,99
854,race - black,1,Chicago,12,61
855,race - black,1,Cincinnati,18,85
856,race - black,1,Dallas,97,5
857,race - black,1,Denver,7,88
858,race - black,1,Houston,51,28
859,race - black,1,Las Vegas,35,71
860,race - black,1,Los Angeles,5,28
861,race - black,1,Miami,31,41
862,race - black,1,New Orleans,41,66
863,race - black,1,New York,47,28
864,race - black,1,Phoenix,10,35
865,race - black,1,San Jose,8,51
866,race - black,1,Seattle,26,14
867,race - black,1,Ashburn,46,57
868,race - black,1,Atlanta,137,48
869,race - black,1,Boston,32,73
870,race - black,1,Charlotte,28,28
871,race - black,1,Chicago,0,52
872,race - black,1,Cincinnati,20,89
873,race - black,1,Dallas,17,18
874,race - black,1,Denver,4,44
875,race - black,1,Houston,8,64
876,race - black,1,Las Vegas,20,5
877,race - black,1,Los Angeles,13,27
878,race - black,1,Miami,54,24
879,race - black,1,New Orleans,36,99
880,race - black,1,New York,113,89
881,race - black,1,Phoenix,24,42
882,race - black,1,San Jose,27,97
883,race - black,1,Seattle,21,45
884,race - black,1,Ashburn,106,82
885,race - black,1,Atlanta,89,85
886,race - black,1,Boston,83,62
887,race - black,1,Charlotte,3,45
888,race - black,1,Chicago,32,84
889,race - black,1,Cincinnati,8,41
890,race - black,1,Dallas,72,61
891,race - black,1,Denver,10,56
892,race - black,1,Houston,36,12
893,race - black,1,Las Vegas,4,13
894,race - black,1,Los Angeles,80,74
895,race - black,1,Miami,63,55
896,race - black,1,New Orleans,3,22
897,race - black,1,New York,68,27
898,race - black,1,Phoenix,8,55
899,race - black,1,San Jose,10,1
900,race - black,1,Seattle,4,19
901,race - black,1,Ashburn,90,14
902,race - black,1,Atlanta,85,37
903,race - black,1,Boston,5,76
904,race - black,1,Charlotte,24,43
905,race - black,1,Chicago,77,28
906,race - black,1,Cincinnati,11,59
907,race - black,1,Dallas,58,77
908,race - black,1,Denver,27,68
909,race - black,1,Houston,7,60
910,race - black,1,Las Vegas,18,10
911,race - black,1,Los Angeles,75,66
912,race - black,1,Miami,17,78
913,race - black,1,New Orleans,8,54
914,race - black,1,New York,113,1
915,race - black,1,Phoenix,13,90
916,race - black,1,San Jose,50,41
917,race - black,1,Seattle,13,23
918,race - black,1,Ashburn,88,31
919,race - black,1,Atlanta,57,83
920,race - black,1,Boston,42,6
921,race - black,1,Charlotte,17,51
922,race - black,1,Chicago,115,14
923,race - black,1,Cincinnati,14,11
924,race - black,1,Dallas,84,12
925,race - black,1,Denver,17,93
926,race - black,1,Houston,39,0
927,race - black,1,Las Vegas,11,89
928,race - black,1,Los Angeles,43,10
929,race - black,1,Miami,45,2
930,race - black,1,New Orleans,53,72
931,race - black,1,New York,106,10
932,race - black,1,Phoenix,6,19
933,race - black,1,San Jose,27,73
934,race - black,1,Seattle,27,61
935,race - black,1,Ashburn,111,66
936,race - black,1,Atlanta,81,27
937,race - black,1,Boston,63,14
938,race - black,1,Charlotte,0,97
939,race - black,1,Chicago,14,31
940,race - black,1,Cincinnati,18,12
941,race - black,1,Dallas,79,84
942,race - black,1,Denver,22,67
943,race - black,1,Houston,44,28
944,race - black,1,Las Vegas,35,62
945,race - black,1,Los Angeles,4,30
946,race - black,1,Miami,59,23
947,race - black,1,New Orleans,5,22
948,race - black,1,New York,9,40
949,race - black,1,Phoenix,0,5
950,race - black,1,San Jose,12,52
951,race - black,1,Seattle,24,66
952,race - black,1,Ashburn,9,84
953,race - black,1,Atlanta,43,80
954,race - black,1,Boston,40,93
955,race - black,1,Charlotte,6,99
956,race - black,1,Chicago,87,48
957,race - black,1,Cincinnati,18,59
958,race - black,1,Dallas,14,86
959,race - black,1,Denver,1,83
960,race - black,1,Houston,39,20
961,race - black,1,Las Vegas,16,34
962,race - black,1,Los Angeles,14,94
963,race - black,1,Miami,16,54
964,race - black,1,New Orleans,14,3
965,race - black,1,New York,34,43
966,race - black,1,Phoenix,27,2
967,race - black,1,San Jose,47,0
968,race - black,1,Seattle,10,95
969,race - black,1,Ashburn,10,21
970,race - black,1,Atlanta,101,36
971,race - black,1,Boston,51,6
972,race - black,1,Charlotte,34,56
973,race - black,1,Chicago,117,89
974,race - black,1,Cincinnati,8,2
975,race - black,1,Dallas,37,67
976,race - black,1,Denver,27,64
977,race - black,1,Houston,33,18
978,race - black,1,Las Vegas,3,1
979,race - black,1,Los Angeles,24,6
980,race - black,1,Miami,38,64
981,race - black,1,New Orleans,4,81
982,race - black,1,New York,32,80
983,race - black,1,Phoenix,28,40
984,race - black,1,San Jose,16,81
985,race - black,1,Seattle,13,36
986,race - black,1,Ashburn,105,78
987,race - black,1,Atlanta,137,0
988,race - black,1,Boston,16,57
989,race - black,1,Charlotte,32,75
990,race - black,1,Chicago,12,48
991,race - black,1,Cincinnati,1,88
992,race - black,1,Dallas,79,47
993,race - black,1,Denver,22,54
994,race - black,1,Houston,29,56
995,race - black,1,Las Vegas,39,51
996,race - black,1,Los Angeles,75,1
997,race - black,1,Miami,4,31
998,race - black,1,New Orleans,12,70
999,race - black,1,New York,14,89
1000,race - black,1,Phoenix,32,23
1001,race - black,1,San Jose,22,95
1002,race - black,1,Seattle,1,89
1003,race - black,1,Ashburn,99,1
1004,race - black,1,Atlanta,118,95
1005,race - black,1,Boston,16,80
1006,race - black,1,Charlotte,1,2
1007,race - black,1,Chicago,111,54
1008,race - black,1,Cincinnati,11,83
1009,race - black,1,Dallas,22,95
1010,race - black,1,Denver,18,34
1011,race - black,1,Houston,14,42
1012,race - black,1,Las Vegas,9,69
1013,race - black,1,Los Angeles,14,17
1014,race - black,1,Miami,56,96
1015,race - black,1,New Orleans,17,1
1016,race - black,1,New York,23,81
1017,race - black,1,Phoenix,0,65
1018,race - black,1,San Jose,48,15
1019,race - black,1,Seattle,18,0
1020,race - black,1,Ashburn,33,1
1021,race - black,1,Atlanta,95,56
1022,race - black,1,Boston,23,89
1023,race - black,1,Charlotte,9,8
1024,race - black,1,Chicago,99,59
1025,race - black,1,Cincinnati,2,87
1026,race - black,1,Dallas,88,86
1027,race - black,1,Denver,12,89
1028,race - black,1,Houston,21,23
1029,race - black,1,Las Vegas,8,42
1030,race - black,1,Los Angeles,76,34
1031,race - black,1,Miami,54,38
1032,race - black,1,New Orleans,22,27
1033,race - black,1,New York,9,71
1034,race - black,1,Phoenix,30,92
1035,race - black,1,San Jose,21,27
1036,race - black,1,Seattle,14,14
1037,race - black,1,Ashburn,82,79
1038,race - black,1,Atlanta,96,10
1039,race - black,1,Boston,76,49
1040,race - black,1,Charlotte,12,44
1041,race - black,1,Chicago,90,30
1042,race - black,1,Cincinnati,13,51
1043,race - black,1,Dallas,95,68
1044,race - black,1,Denver,20,27
1045,race - black,1,Houston,52,5
1046,race - black,1,Las Vegas,17,99
1047,race - black,1,Los Angeles,24,25
1048,race - black,1,Miami,62,38
1049,race - black,1,New Orleans,16,67
1050,race - hispanic,1,New York,84,56
1051,race - hispanic,1,Phoenix,7,96
1052,race - hispanic,1,San Jose,25,98
1053,race - hispanic,1,Seattle,4,81
1054,race - hispanic,1,Ashburn,59,35
1055,race - hispanic,1,Atlanta,6,85
1056,race - hispanic,1,Boston,61,97
1057,race - hispanic,1,Charlotte,6,2
1058,race - hispanic,1,Chicago,17,83
1059,race - hispanic,1,Cincinnati,9,28
1060,race - hispanic,1,Dallas,67,30
1061,race - hispanic,1,Denver,9,65
1062,race - hispanic,1,Houston,31,27
1063,race - hispanic,1,Las Vegas,20,90
1064,race - hispanic,1,Los Angeles,51,62
1065,race - hispanic,1,Miami,53,28
1066,race - hispanic,1,New Orleans,34,77
1067,race - hispanic,1,New York,59,61
1068,race - hispanic,1,Phoenix,18,59
1069,race - hispanic,1,San Jose,13,65
1070,race - hispanic,1,Seattle,4,91
1071,race - hispanic,1,Ashburn,42,31
1072,race - hispanic,1,Atlanta,124,83
1073,race - hispanic,1,Boston,25,44
1074,race - hispanic,1,Charlotte,29,82
1075,race - hispanic,1,Chicago,125,18
1076,race - hispanic,1,Cincinnati,9,40
1077,race - hispanic,1,Dallas,98,75
1078,race - hispanic,1,Denver,4,18
1079,race - hispanic,1,Houston,18,21
1080,race - hispanic,1,Las Vegas,5,6
1081,race - hispanic,1,Los Angeles,41,19
1082,race - hispanic,1,Miami,38,72
1083,race - hispanic,1,New Orleans,3,65
1084,race - hispanic,1,New York,97,14
1085,race - hispanic,1,Phoenix,13,17
1086,race - hispanic,1,San Jose,39,68
1087,race - hispanic,1,Seattle,22,46
1088,race - hispanic,1,Ashburn,115,5
1089,race - hispanic,1,Atlanta,89,98
1090,race - hispanic,1,Boston,56,20
1091,race - hispanic,1,Charlotte,0,49
1092,race - hispanic,1,Chicago,72,25
1093,race - hispanic,1,Cincinnati,0,99
1094,race - hispanic,1,Dallas,99,38
1095,race - hispanic,1,Denver,29,43
1096,race - hispanic,1,Houston,36,14
1097,race - hispanic,1,Las Vegas,36,46
1098,race - hispanic,1,Los Angeles,75,59
1099,race - hispanic,1,Miami,37,71
1100,race - hispanic,1,New Orleans,41,56
1101,race - hispanic,1,New York,59,52
1102,race - hispanic,1,Phoenix,30,44
1103,race - hispanic,1,San Jose,17,2
1104,race - hispanic,1,Seattle,28,85
1105,race - hispanic,1,Ashburn,55,7
1106,race - hispanic,1,Atlanta,16,50
1107,race - hispanic,1,Boston,62,47
1108,race - hispanic,1,Charlotte,20,28
1109,race - hispanic,1,Chicago,23,72
1110,race - hispanic,1,Cincinnati,3,12
1111,race - hispanic,1,Dallas,42,56
1112,race - hispanic,1,Denver,5,17
1113,race - hispanic,1,Houston,33,94
1114,race - hispanic,1,Las Vegas,43,5
1115,race - hispanic,1,Los Angeles,47,23
1116,race - hispanic,1,Miami,7,37
1117,race - hispanic,1,New Orleans,29,76
1118,race - hispanic,1,New York,58,67
1119,race - hispanic,1,Phoenix,34,50
1120,race - hispanic,1,San Jose,53,20
1121,race - hispanic,1,Seattle,21,7
1122,race - hispanic,1,Ashburn,0,49
1123,race - hispanic,1,Atlanta,75,9
1124,race - hispanic,1,Boston,65,56
1125,race - hispanic,1,Charlotte,19,52
1126,race - hispanic,1,Chicago,34,61
1127,race - hispanic,1,Cincinnati,1,33
1128,race - hispanic,1,Dallas,87,80
1129,race - hispanic,1,Denver,31,51
1130,race - hispanic,1,Houston,26,78
1131,race - hispanic,1,Las Vegas,3,11
1132,race - hispanic,1,Los Angeles,47,31
1133,race - hispanic,1,Miami,13,3
1134,race - hispanic,1,New Orleans,50,92
1135,race - hispanic,1,New York,70,19
1136,race - hispanic,1,Phoenix,23,39
1137,race - hispanic,1,San Jose,50,11
1138,race - hispanic,1,Seattle,22,33
1139,race - hispanic,1,Ashburn,23,4
1140,race - hispanic,1,Atlanta,133,86
1141,race - hispanic,1,Boston,30,54
1142,race - hispanic,1,Charlotte,36,79
1143,race - hispanic,1,Chicago,12,24
1144,race - hispanic,1,Cincinnati,2,66
1145,race - hispanic,1,Dallas,69,45
1146,race - hispanic,1,Denver,22,37
1147,race - hispanic,1,Houston,2,51
1148,race - hispanic,1,Las Vegas,30,31
1149,race - hispanic,1,Los Angeles,17,49
1150,race - hispanic,1,Miami,0,25
1151,race - hispanic,1,New Orleans,49,26
1152,race - hispanic,1,New York,26,56
1153,race - hispanic,1,Phoenix,12,23
1154,race - hispanic,1,San Jose,46,2
1155,race - hispanic,1,Seattle,24,14
1156,race - hispanic,1,Ashburn,94,10
1157,race - hispanic,1,Atlanta,69,42
1158,race - hispanic,1,Boston,53,72
1159,race - hispanic,1,Charlotte,16,86
1160,race - hispanic,1,Chicago,23,79
1161,race - hispanic,1,Cincinnati,1,76
1162,race - hispanic,1,Dallas,43,98
1163,race - hispanic,1,Denver,32,80
1164,race - hispanic,1,Houston,45,28
1165,race - hispanic,1,Las Vegas,45,11
1166,race - hispanic,1,Los Angeles,60,11
1167,race - hispanic,1,Miami,39,6
1168,race - hispanic,1,New Orleans,16,92
1169,race - hispanic,1,New York,53,55
1170,race - hispanic,1,Phoenix,16,78
1171,race - hispanic,1,San Jose,52,35
1172,race - hispanic,1,Seattle,18,92
1173,race - hispanic,1,Ashburn,106,10
1174,race - hispanic,1,Atlanta,39,34
1175,race - hispanic,1,Boston,50,86
1176,race - hispanic,1,Charlotte,3,39
1177,race - hispanic,1,Chicago,68,96
1178,race - hispanic,1,Cincinnati,19,71
1179,race - hispanic,1,Dallas,10,8
1180,race - hispanic,1,Denver,21,42
1181,race - hispanic,1,Houston,5,0
1182,race - hispanic,1,Las Vegas,31,39
1183,race - hispanic,1,Los Angeles,14,0
1184,race - hispanic,1,Miami,8,44
1185,race - hispanic,1,New Orleans,2,15
1186,race - hispanic,1,New York,101,50
1187,race - hispanic,1,Phoenix,20,40
1188,race - hispanic,1,San Jose,38,15
1189,race - hispanic,1,Seattle,15,2
1190,race - hispanic,1,Ashburn,116,53
1191,race - hispanic,1,Atlanta,15,27
1192,race - hispanic,1,Boston,53,62
1193,race - hispanic,1,Charlotte,22,91
1194,race - hispanic,1,Chicago,3,34
1195,race - hispanic,1,Cincinnati,5,78
1196,race - hispanic,1,Dallas,97,30
1197,race - hispanic,1,Denver,18,15
1198,race - hispanic,1,Houston,8,82
1199,race - hispanic,1,Las Vegas,19,42
1200,race - hispanic,1,Los Angeles,17,98
1201,race - hispanic,1,Miami,55,84
1202,race - hispanic,1,New Orleans,28,95
1203,race - hispanic,1,New York,37,90
1204,race - hispanic,1,Phoenix,26,97
1205,race - hispanic,1,San Jose,34,41
1206,race - hispanic,1,Seattle,18,31
1207,race - hispanic,1,Ashburn,74,91
1208,race - hispanic,1,Atlanta,120,20
1209,race - hispanic,1,Boston,19,49
1210,race - hispanic,1,Charlotte,35,53
1211,race - hispanic,1,Chicago,14,28
1212,race - hispanic,1,Cincinnati,9,68
1213,race - hispanic,1,Dallas,6,46
1214,race - hispanic,1,Denver,16,45
1215,race - hispanic,1,Houston,46,8
1216,race - hispanic,1,Las Vegas,40,89
1217,race - hispanic,1,Los Angeles,31,4
1218,race - hispanic,1,Miami,63,0
1219,race - hispanic,1,New Orleans,18,53
1220,race - hispanic,1,New York,122,52
1221,race - hispanic,1,Phoenix,25,1
1222,race - hispanic,1,San Jose,22,50
1223,race - hispanic,1,Seattle,2,26
1224,race - hispanic,1,Ashburn,22,43
1225,race - hispanic,1,Atlanta,63,12
1226,race - hispanic,1,Boston,20,75
1227,race - hispanic,1,Charlotte,7,93
1228,race - hispanic,1,Chicago,45,24
1229,race - hispanic,1,Cincinnati,7,30
1230,race - hispanic,1,Dallas,26,92
1231,race - hispanic,1,Denver,11,81
1232,race - hispanic,1,Houston,30,1
1233,race - hispanic,1,Las Vegas,14,1
1234,race - hispanic,1,Los Angeles,31,36
1235,race - hispanic,1,Miami,52,11
1236,race - hispanic,1,New Orleans,19,10
1237,race - hispanic,1,New York,127,16
1238,race - hispanic,1,Phoenix,24,0
1239,race - hispanic,1,San Jose,34,97
1240,race - hispanic,1,Seattle,20,96
1241,race - hispanic,1,Ashburn,119,3
1242,race - hispanic,1,Atlanta,112,19
1243,race - hispanic,1,Boston,69,87
1244,race - hispanic,1,Charlotte,25,21
1245,race - hispanic,1,Chicago,113,53
1246,race - hispanic,1,Cincinnati,0,38
1247,race - hispanic,1,Dallas,105,52
1248,race - hispanic,1,Denver,24,76
1249,race - hispanic,1,Houston,33,63
1250,race - hispanic,1,Las Vegas,1,53
1251,race - hispanic,1,Los Angeles,44,43
1252,race - hispanic,1,Miami,53,64
1253,race - hispanic,1,New Orleans,15,74
1254,race - hispanic,1,New York,59,97
1255,race - hispanic,1,Phoenix,13,8
1256,race - hispanic,1,San Jose,4,30
1257,race - hispanic,1,Seattle,2,25
1258,race - hispanic,1,Ashburn,94,27
1259,race - hispanic,1,Atlanta,3,80
1260,race - hispanic,1,Boston,38,6
1261,race - hispanic,1,Charlotte,2,25
1262,race - hispanic,1,Chicago,116,38
1263,race - hispanic,1,Cincinnati,13,47
1264,race - hispanic,1,Dallas,91,46
1265,race - hispanic,1,Denver,24,15
1266,race - hispanic,1,Houston,37,48
1267,race - hispanic,1,Las Vegas,6,38
1268,race - hispanic,1,Los Angeles,64,41
1269,race - hispanic,1,Miami,8,7
1270,race - hispanic,1,New Orleans,43,81
1271,race - hispanic,1,New York,147,18
1272,race - hispanic,1,Phoenix,20,56
1273,race - hispanic,1,San Jose,49,17
1274,race - hispanic,1,Seattle,23,21
1275,race - hispanic,1,Ashburn,18,96
1276,race - hispanic,1,Atlanta,129,57
1277,race - hispanic,1,Boston,24,86
1278,race - hispanic,1,Charlotte,35,39
1279,race - hispanic,1,Chicago,39,52
1280,race - hispanic,1,Cincinnati,7,57
1281,race - hispanic,1,Dallas,91,47
1282,race - hispanic,1,Denver,24,74
1283,race - hispanic,1,Houston,5,75
1284,race - hispanic,1,Las Vegas,10,18
1285,race - hispanic,1,Los Angeles,13,82
1286,race - hispanic,1,Miami,46,40
1287,race - hispanic,1,New Orleans,28,26
1288,race - hispanic,1,New York,43,44
1289,race - hispanic,1,Phoenix,24,43
1290,race - hispanic,1,San Jose,37,79
1291,race - hispanic,1,Seattle,9,23
1292,race - hispanic,1,Ashburn,12,72
1293,race - hispanic,1,Atlanta,142,68
1294,race - hispanic,1,Boston,27,83
1295,race - hispanic,1,Charlotte,15,24
